original_term,translated_term,context_notes
lds,sud,Latter-day Saint
elder,elder,Priesthood office
melchizedek,melquisedek,Ancient prophet and priesthood
temple,templo,Place of worship and ordinances
ward,barrio,Local congregation
stake,estaca,Group of wards
bishop,obispo,Local congregation leader
stake president,presidente de estaca,Stake leader
general conference,conferencia general,Semi-annual church meeting
relief society,sociedad de socorro,Women's organization
priesthood,sacerdocio,Authority and power of God
blessing,bendición,Spiritual gift or prayer
testimony,testimonio,Personal witness of truth
covenant,convenio,Sacred agreement with God
ordinance,ordenanza,Sacred ceremony
endowment,investidura,Temple ordinance
sealing,sellamiento,Temple marriage ceremony
home teaching,visitas domiciliarias,Former program for member care
ministering,ministerio,Current program for member care
fast and testimony meeting,reunión de ayuno y testimonios,Monthly sacrament meeting
sacrament meeting,reunión sacramental,Main Sunday worship service
primary,primaria,Children's organization
young men,jóvenes,Young men's organization
young women,jóvenes mujeres,Young women's organization
seminary,seminario,Religious education for youth
institute,instituto,Religious education for young adults
family home evening,noche de hogar,Weekly family activity
family history,historia familiar,Genealogy work
temple work,obra del templo,Temple ordinances for deceased
missionary work,obra misional,Sharing the gospel
full-time missionary,misionero de tiempo completo,Full-time missionary service
member missionary,misionero miembro,Member sharing the gospel
gospel,evangelio,The teachings of Jesus Christ
plan of salvation,plan de salvación,God's plan for His children
atonement,expiación,Christ's sacrifice for mankind
repentance,arrepentimiento,Process of change and forgiveness
baptism,bautismo,Ordinance of initiation
confirmation,confirmación,Receiving the Holy Ghost
holy ghost,espíritu santo,Third member of the Godhead
heavenly father,padre celestial,God the Father
savior,salvador,Jesus Christ
redeemer,redentor,Jesus Christ
prophet,profeta,Church president and revelator
apostle,apóstol,Special witness of Christ
seventy,setenta,General authority
patriarchal blessing,bendición patriarcal,Personal spiritual guidance
temple recommend,recomendación del templo,Permission to enter temple
worthiness,ser digno,Being morally clean and obedient
chastity,castidad,Moral purity
tithing,diezmo,10% of income to the church
fast offering,ofrenda de ayuno,Donation for the poor
word of wisdom,palabra de sabiduría,Health code
sabbath day,día de reposo,Sunday observance
sabbath day holy,santificar el día de reposo,Keep Sunday holy
celestial kingdom,reino celestial,Highest degree of glory
terrestrial kingdom,reino terrestre,Second degree of glory
telestial kingdom,reino telestial,Third degree of glory
outer darkness,oscuridad exterior,Place for sons of perdition
eternal life,vida eterna,Life with God
exaltation,exaltación,Becoming like God
perfection,perfección,Becoming complete in Christ
grace,gracia,Divine help and mercy
faith,fe,Belief in things not seen
hope,esperanza,Confidence in God's promises
charity,caridad,Pure love of Christ
virtue,virtud,Moral excellence
knowledge,conocimiento,Understanding of truth
temperance,templanza,Self-control
patience,paciencia,Enduring trials with faith
godliness,piedad,Godlike qualities
brotherly kindness,afecto fraternal,Love for others
humility,humildad,Recognition of dependence on God
obedience,obediencia,Following God's commandments
service,servicio,Helping others
love,amor,Charity and compassion
forgiveness,perdón,Letting go of resentment
mercy,misericordia,Compassion and forgiveness
justice,justicia,Fairness and righteousness 
